Batterimodell,Cykelmärke,Voltage ,Original capacitet,Capacity,Blank,Price,Badge,Capacity,Blank,Price,Badge,Capacity,Blank,Price,Badge,OBS Note,Photolink,Productlink,Description,Charger,Note,Discount,Discount reason
Reention Dorado,"Lifebike, Lyfco ",36,10,10,,3 500 kr,FALSE,15 Ah,,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,photos/batterier/reention_dorado.webp,reention-dorado,,,,3 000 kr,Sommarkampanj
Reention Kangaroo,"Cargobike, Marvil, MyEco, Aspenäs, Sjösala",36,10,10,,3 500 kr,FALSE,14 Ah,,4 300 kr,FALSE,,,,,,photos/batterier/reention_kangaroo.webp,reention-kangaroo,"Reention Kangaroo, tillhör främst cyklar från Cargobike, Marvil, MyEco, Aspenäs och Sjösala.",,,3 000 kr,Sommarkampanj
Shan Shan Haibao II 24 V ,"Kama, Sunwind",24,10,10,,3 000 kr,FALSE,14 Ah,,3 500 kr,FALSE,,,,,,"photos/batterier/shan_shan_haibo_2.webp, photos/batterier/goodwheel.webp",shan-shan-haibao-II-24,"Shan Shan Haibao II 24 V, förekommer främst på cyklar från Kama och Sunwind.",,,2 500 kr,Sommarkampanj
Shan Shan Haibao II 36 V,"Sjösala, Peak, Aspenäs, Cube",36,10,10,,3 500 kr,FALSE,14 Ah,,4 300 kr,FALSE,,,,,,"photos/batterier/shan_shan_haibo_2.webp, photos/batterier/goodwheel.webp",shan-shan-haibao-II-36,"Shan Shan Haiabo II 36 V, förekommer främst på cyklar från Sjösala, Peak, Aspenäs och Cube.",,,3 000 kr,Sommarkampanj
Shimano Steps BT-6010,"Crescent, Monark",36,11.6,11.6,,5 500 kr,FALSE,14 Ah,,6 500 kr,FALSE,,,,,"Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.","photos/batterier/BT6010_1.webp, photos/batterier/BT6010_2.webp, photos/batterier/BT6010_3.webp",shimano-steps,Förekommer på Crescent och Monarks cyklar bland andra. Vid reparation måste du lämna in laddaren för att vi ska kunna säkerställa korrekt funktion.,Laddaren behöver lämnas in.,"Ibland låser sig BMS på denna modell (i cirka 1 fall av 20). Vi vet direkt efteråt om reparationen har lyckats. |Viktigt att veta innan du skickar in batteriet:|Om reparationen misslyckas på grund av låst BMS behöver du köpa ett nytt batteri från en tredjepartshandlare.|Batterilabbet ersätter inte kostnaden för ett eventuellt nytt batteri, och vi säljer inte nya batterier själva.|Skicka endast in batteriet om det har kort räckvidd eller är defekt, och om du accepterar risken att behöva köpa ett nytt på egen hand.",,
Silverfish 24V,"Evobike, Biltema, Zet",24,10,10,,3 000 kr,FALSE,15 Ah,,3 500 kr,FALSE,20 Ah,,4 000 kr,FALSE,,photos/batterier/silverfish_24V_36V.webp,silverfish-24,"Silverfish 24 V. Förekommer på Evobike, Biltema, Zet, m.fl. ",,,2 500 kr,Sommarkampanj
Silverfish 36V,"Evobike, Biltema, Zet",36,10,10,,3 500 kr,FALSE,15 Ah,,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,,photos/batterier/silverfish_24V_36V.webp,silverfish-36,"Silverfish 36 V. Förekommer på Evobike, Biltema, Zet, m.fl. ",,,3 000 kr,Sommarkampanj
Slim/E-series,Batavus,36,10,10,,3 950 kr,FALSE,14 Ah,,4 750 kr,FALSE,,,,,Vid reparation behöver denna modell en ny laddare. Detta ingår i priset.,photos/batterier/batavius_slim.webp,batavus-slim,Förekommer på Batavus cyklar.,Ny laddare,Vid reparation behöver denna modell en ny laddare. Detta ingår i priset.,3 450 kr,Sommarkampanj
Sunlight-II,"Stålhästen, Lifebike ",36,10,10,,3 500 kr,FALSE,14 Ah,,4 300 kr,FALSE,,,,,,photos/batterier/sunlight.webp,sunlight-2,,,,3 000 kr,Sommarkampanj
Supersoco 60V,Supersoco,60,26,35,,7 500 kr,FALSE,45 Ah,,9 500 kr,FALSE,,,,,,photos/batterier/soco.webp,soco,,,,,
Tianlong-I/II,"Golden Motor, ZOOM",36,10,10,,3 500 kr,FALSE,15 Ah,,4 300 kr,FALSE,20 Ah,,5 000 kr,FALSE,OBS! Finns i flera storlekar.,photos/batterier/tianlong.webp,tianlong,,,,3 000 kr,Sommarkampanj
TranzX 24V,Crescent,24,10,10,,3 250 kr,FALSE,15 Ah,,3 750 kr,FALSE,20 Ah,,4 250 kr,FALSE,"OBS! Vid reparation byts BMS på dessa. Du kommer inte längre att kunna se batteristatus på cykelns display, en separat batteriindikator kan installeras om så önskas.","photos/batterier/tranzex.webp, photos/batterier/tranzx_default.webp, photos/batterier/tranzx_side.webp, photos/batterier/tranzx_port.webp",tranzx24,Förekommer på bland annat äldre cyklar från Crescent. ,,"OBS! Vid reparation byts BMS på dessa. Du kommer inte längre att kunna se batteristatus på cykelns display, en separat batteriindikator kan installeras om så önskas.",2 750 kr,Sommarkampanj
VeloCity,"White, Orion, Evobike, Cargobike",36,10,10,,3 500 kr,FALSE,14 Ah,,4 300 kr,FALSE,17.5 Ah,,5 000 kr,FALSE,,photos/batterier/velocity.webp,velocity,,,,3 000 kr,Sommarkampanj
